"Collection Name","CollectionID","Start Time","Duration in minutes","Maintenance Window Name","Maintenance Window Recurrence","Enabled"
"TS_AppDep.GME.PRD.GP.DAL._DG1","CEN0268F","02:00:00 AM","240","DG1 DAL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.DAL._DG2","CEN02690","02:00:00 AM","240","DG2 DAL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.DOH","CEN02691","02:00:00 AM","240","DOH General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.DOWNSTREAM","CEN02672","02:00:00 AM","240","Downstream General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.DOWNSTREAM._DG1","CEN02673","02:00:00 AM","240","DG1 Downstream General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.DOWNSTREAM._DG2","CEN02674","02:00:00 AM","240","DG2 Downstream General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.ESH","CEN02692","02:00:00 AM","240","ESH General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.ESH._DG1","CEN02693","02:00:00 AM","240","DG1 ESH General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.ESH._DG2","CEN02694","02:00:00 AM","240","DG2 ESH General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.FFX","CEN02695","02:00:00 AM","240","FFX General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.FFX._DG1","CEN02696","02:00:00 AM","240","DG1 FFX General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.FRS","CEN02697","02:00:00 AM","240","FRS General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.FRS._DG1","CEN02698","02:00:00 AM","240","DG1 FRS General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.HNO","CEN0269A","02:00:00 AM","240","HNO General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.HOE","CEN0269B","02:00:00 AM","240","HOE General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.HOE._DG1","CEN0269C","02:00:00 AM","240","DG1 HOE General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.HOE._DG2","CEN0269E","02:00:00 AM","240","DG2 HOE General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.IRS","CEN0269F","02:00:00 AM","240","IRS General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.IRS._DG1","CEN026A0","02:00:00 AM","240","DG1 IRS General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.JAK","CEN026A2","02:00:00 AM","240","JAK General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.JAK._DG1","CEN026A3","02:00:00 AM","240","DG1 JAK General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.JAK._DG2","CEN026A4","02:00:00 AM","240","DG2 JAK General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.KME","CEN026A5","02:00:00 AM","240","KME General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.KRL","CEN026A6","02:00:00 AM","240","KRL General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.KRL._DG1","CEN026A7","02:00:00 AM","240","DG1 KRL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.KUL","CEN026AE","02:00:00 AM","240","KUL General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.KUL._DG1","CEN026AF","02:00:00 AM","240","DG1 KUL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.KUL._DG2","CEN026B0","02:00:00 AM","240","DG2 KUL General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.LAG","CEN026B1","02:00:00 AM","240","LAG General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.LAG._DG1","CEN026B2","02:00:00 AM","240","DG1 LAG General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.LDN","CEN026B3","02:00:00 AM","240","LDN General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.LDN._DG1","CEN026B4","02:00:00 AM","240","DG1 LDN General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.LDN._DG2","CEN026B5","02:00:00 AM","240","DG2 LDN General Purpose Production GME Terminal Servers","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.LFD","CEN026B6","02:00:00 AM","240","LFD General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.LHD","CEN026B7","02:00:00 AM","240","LHD General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.LHD._DG1","CEN02815","02:00:00 AM","240","TS_AppDep.GME.PRD.GP.LHD._DG1","Occurs every 1 week(s) on Monday ","True"
"TS_AppDep.GME.PRD.GP.LHD._DG2","CEN02817","02:00:00 AM","240","TS_AppDep.GME.PRD.GP.LHD._DG2","Occurs every 1 week(s) on Wednesday ","True"
"TS_AppDep.GME.PRD.GP.LUA","CEN026BA","02:00:00 AM","240","LUA General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
"TS_AppDep.GME.PRD.GP.MAC","CEN026BB","02:00:00 AM","240","MAC General Purpose Production GME Terminal Servers","Occurs every 3 week(s) on Tuesday ","True"
